episode,node_id,score,status,buggy,timestamp
0,0,0,FAILED,TRUE,20251130_094629
0,1,0.8,SUCCESS,FALSE,20251130_094629
0,2,0.81,SUCCESS,FALSE,20251130_094629
0,3,0.8,SUCCESS,FALSE,20251130_094629
0,4,0.818234888,SUCCESS,FALSE,20251130_094629
0,5,0.804751742,SUCCESS,FALSE,20251130_094629
0,6,0.820469525,SUCCESS,FALSE,20251130_094629
0,7,0.820469525,SUCCESS,FALSE,20251130_094629
1,0,0.817,SUCCESS,FALSE,20251130_094729
1,1,0.8317,SUCCESS,FALSE,20251130_094729
1,2,0,FAILED,TRUE,20251130_094729
1,3,0,FAILED,TRUE,20251130_094729
1,4,0,FAILED,TRUE,20251130_094729
1,5,0.8395,SUCCESS,FALSE,20251130_094729
1,6,0.835,SUCCESS,FALSE,20251130_094729
1,7,0.8339,SUCCESS,FALSE,20251130_094729
2,0,0.7913,SUCCESS,FALSE,20251130_094821
2,1,0.8148,SUCCESS,FALSE,20251130_094821
2,2,0,FAILED,TRUE,20251130_094821
2,3,0,FAILED,TRUE,20251130_094821
2,4,0.8171,SUCCESS,FALSE,20251130_094821
2,5,0.8114,SUCCESS,FALSE,20251130_094821
2,6,0.8204,SUCCESS,FALSE,20251130_094821
2,7,0.8215,SUCCESS,FALSE,20251130_094821
3,0,0.814826439,SUCCESS,FALSE,20251130_094930
3,1,0.83166154,SUCCESS,FALSE,20251130_094930
3,2,0.829395518,SUCCESS,FALSE,20251130_094930
3,3,0.826018455,SUCCESS,FALSE,20251130_094930
3,4,0.839501601,SUCCESS,FALSE,20251130_094930
3,5,0.839501601,SUCCESS,FALSE,20251130_094930
3,6,0.839501601,SUCCESS,FALSE,20251130_094930
3,7,0.839501601,SUCCESS,FALSE,20251130_094930
4,0,0.813696566,SUCCESS,FALSE,20251130_095208
4,1,0,FAILED,TRUE,20251130_095208
4,2,0.821536627,SUCCESS,FALSE,20251130_095208
4,3,0.821536627,SUCCESS,FALSE,20251130_095208
4,4,0.821536627,SUCCESS,FALSE,20251130_095208
4,5,0.822666499,SUCCESS,FALSE,20251130_095208
4,6,0.814795054,SUCCESS,FALSE,20251130_095208
4,7,0.822666499,SUCCESS,FALSE,20251130_095208
5,0,0.8114,SUCCESS,FALSE,20251130_095323
5,1,0.7901,SUCCESS,FALSE,20251130_095323
5,2,0.8115,SUCCESS,FALSE,20251130_095323
5,3,0.8283,SUCCESS,FALSE,20251130_095323
5,4,0.8283,SUCCESS,FALSE,20251130_095323
5,5,0.8283,SUCCESS,FALSE,20251130_095323
5,6,0.8283,SUCCESS,FALSE,20251130_095323
5,7,0.8283,SUCCESS,FALSE,20251130_095323
6,0,0.8328,SUCCESS,FALSE,20251130_095452
6,1,0.7901,SUCCESS,FALSE,20251130_095452
6,2,0.8227,SUCCESS,FALSE,20251130_095452
6,3,0.826,SUCCESS,FALSE,20251130_095452
6,4,0.8283,SUCCESS,FALSE,20251130_095452
6,5,0.8328,SUCCESS,FALSE,20251130_095452
6,6,0.8328,SUCCESS,FALSE,20251130_095452
6,7,0.8328,SUCCESS,FALSE,20251130_095452
7,0,0.81,SUCCESS,FALSE,20251130_095601
7,1,0.8,SUCCESS,FALSE,20251130_095601
7,2,0.81,SUCCESS,FALSE,20251130_095601
7,3,0.81,SUCCESS,FALSE,20251130_095601
7,0,0.8316,SUCCESS,FALSE,20251130_103111
7,1,0.826,SUCCESS,FALSE,20251130_103111
7,2,0.8316,SUCCESS,FALSE,20251130_103111
7,0,0,FAILED,TRUE,20251130_111151
8,1,0.813696566,SUCCESS,FALSE,20251130_111151
8,2,0.813696566,SUCCESS,FALSE,20251130_111151
8,3,0.813696566,SUCCESS,FALSE,20251130_111151
8,4,0.809246124,SUCCESS,FALSE,20251130_111151
8,5,0.813696566,SUCCESS,FALSE,20251130_111151
8,6,0.813696566,SUCCESS,FALSE,20251130_111151
8,7,0.813696566,SUCCESS,FALSE,20251130_111151
8,0,0,FAILED,TRUE,20251130_111241
9,1,0.8013,SUCCESS,FALSE,20251130_111241
9,2,0.8013,SUCCESS,FALSE,20251130_111241
9,3,0.8013,SUCCESS,FALSE,20251130_111241
9,4,0.8013,SUCCESS,FALSE,20251130_111241
9,5,0.8013,SUCCESS,FALSE,20251130_111241
9,6,0.8013,SUCCESS,FALSE,20251130_111241
9,7,0.8013,SUCCESS,FALSE,20251130_111241
9,0,0,FAILED,TRUE,20251130_111334
9,1,0.8036,SUCCESS,FALSE,20251130_111334
10,2,0.8036,SUCCESS,FALSE,20251130_111334
10,3,0.802473166,SUCCESS,FALSE,20251130_111334
10,4,0,FAILED,TRUE,20251130_111334
10,5,0.8036,SUCCESS,FALSE,20251130_111334
10,6,0.8036,SUCCESS,FALSE,20251130_111334
10,7,0.8036,SUCCESS,FALSE,20251130_111334
10,0,0.8193,SUCCESS,FALSE,20251130_111431
10,1,0.8149,SUCCESS,FALSE,20251130_111431
11,2,0.8193,SUCCESS,FALSE,20251130_111431
11,3,0.8193,SUCCESS,FALSE,20251130_111431
11,4,0.8193,SUCCESS,FALSE,20251130_111431
11,5,0.8193,SUCCESS,FALSE,20251130_111431
11,6,0.8193,SUCCESS,FALSE,20251130_111431
11,7,0.8193,SUCCESS,FALSE,20251130_111431
11,0,0.7834,SUCCESS,FALSE,20251130_111541
11,1,0.8216,SUCCESS,FALSE,20251130_111541
12,2,0.8115,SUCCESS,FALSE,20251130_111541
12,3,0.8114,SUCCESS,FALSE,20251130_111541
12,4,0.8069,SUCCESS,FALSE,20251130_111541
12,5,0.8025,SUCCESS,FALSE,20251130_111541
12,6,0.8216,SUCCESS,FALSE,20251130_111541
12,7,0.8092,SUCCESS,FALSE,20251130_111541
12,0,0.784527023,SUCCESS,FALSE,20251130_111648
12,1,0.811493315,SUCCESS,FALSE,20251130_111648
12,2,0.820456971,SUCCESS,FALSE,20251130_111648
13,3,0.81820978,SUCCESS,FALSE,20251130_111648
13,4,0.818197226,SUCCESS,FALSE,20251130_111648
13,5,0.812572971,SUCCESS,FALSE,20251130_111648
13,6,0.819314544,SUCCESS,FALSE,20251130_111648
13,7,0.81820978,SUCCESS,FALSE,20251130_111648
13,0,0.832785136,SUCCESS,FALSE,20251130_111743
13,1,0.819283159,SUCCESS,FALSE,20251130_111743
13,2,0.823777541,SUCCESS,FALSE,20251130_111743
14,3,0.831667817,SUCCESS,FALSE,20251130_111743
14,4,0.832785136,SUCCESS,FALSE,20251130_111743
14,5,0.832785136,SUCCESS,FALSE,20251130_111743
14,6,0,FAILED,TRUE,20251130_111743
14,7,0.832785136,SUCCESS,FALSE,20251130_111743
14,0,0.8126,SUCCESS,FALSE,20251130_111848
14,1,0.8249,SUCCESS,FALSE,20251130_111848
14,2,0.8339,SUCCESS,FALSE,20251130_111848
15,3,0.8339,SUCCESS,FALSE,20251130_111848
15,4,0.8339,SUCCESS,FALSE,20251130_111848
15,5,0,FAILED,TRUE,20251130_111848
15,6,0.8339,SUCCESS,FALSE,20251130_111848
15,7,0.8339,SUCCESS,FALSE,20251130_111848
15,0,0,FAILED,TRUE,20251130_111947
15,1,0,FAILED,TRUE,20251130_111947
15,2,0.828297031,SUCCESS,FALSE,20251130_111947
16,3,0.812572971,SUCCESS,FALSE,20251130_111947
16,4,0.831667817,SUCCESS,FALSE,20251130_111947
16,5,0.829433181,SUCCESS,FALSE,20251130_111947
16,6,0,FAILED,TRUE,20251130_111947
16,7,0.829414349,SUCCESS,FALSE,20251130_111947
16,0,0.8104,SUCCESS,FALSE,20251130_112051
16,1,0,FAILED,TRUE,20251130_112051
16,2,0.8036,SUCCESS,FALSE,20251130_112051
17,3,0.8081,SUCCESS,FALSE,20251130_112051
17,4,0.788,SUCCESS,FALSE,20251130_112051
17,5,0.8036,SUCCESS,FALSE,20251130_112051
17,6,0.807,SUCCESS,FALSE,20251130_112051
17,7,0.8104,SUCCESS,FALSE,20251130_112051
17,0,0.800320131,SUCCESS,FALSE,20251130_112149
17,1,0.813684012,SUCCESS,FALSE,20251130_112149
17,2,0.813684012,SUCCESS,FALSE,20251130_112149
18,3,0.813684012,SUCCESS,FALSE,20251130_112149
18,4,0.813684012,SUCCESS,FALSE,20251130_112149
18,5,0.813684012,SUCCESS,FALSE,20251130_112149
18,6,0.813684012,SUCCESS,FALSE,20251130_112149
18,7,0.813684012,SUCCESS,FALSE,20251130_112149
18,0,0,FAILED,TRUE,20251130_112248
18,1,0.81,SUCCESS,FALSE,20251130_112248
18,2,0.81,SUCCESS,FALSE,20251130_112248
19,3,0.81,SUCCESS,FALSE,20251130_112248
19,4,0.81,SUCCESS,FALSE,20251130_112248
19,5,0,FAILED,TRUE,20251130_112248
19,6,0.82,SUCCESS,FALSE,20251130_112248
19,7,0.82,SUCCESS,FALSE,20251130_112248
19,0,0,FAILED,TRUE,20251130_112400
19,1,0.822660222,SUCCESS,FALSE,20251130_112400
19,2,0.81261691,SUCCESS,FALSE,20251130_112400
20,3,0.803590484,SUCCESS,FALSE,20251130_112400
20,4,0.828309585,SUCCESS,FALSE,20251130_112400
20,5,0.828309585,SUCCESS,FALSE,20251130_112400
20,6,0.828309585,SUCCESS,FALSE,20251130_112400
20,7,0.828309585,SUCCESS,FALSE,20251130_112400
20,0,0,FAILED,TRUE,20251130_112508
20,1,0.799102379,SUCCESS,FALSE,20251130_112508
20,2,0.801355847,SUCCESS,FALSE,20251130_112508
21,3,0.82604984,SUCCESS,FALSE,20251130_112508
21,4,0,FAILED,TRUE,20251130_112508
21,5,0.82604984,SUCCESS,FALSE,20251130_112508
21,6,0.811449375,SUCCESS,FALSE,20251130_112508
21,7,0.827173435,SUCCESS,FALSE,20251130_112508
21,0,0,FAILED,TRUE,20251130_112605
21,1,0.7946,SUCCESS,FALSE,20251130_112605
21,2,0.8272,SUCCESS,FALSE,20251130_112605
22,3,0,FAILED,TRUE,20251130_112605
22,4,0.8272,SUCCESS,FALSE,20251130_112605
22,5,0,FAILED,TRUE,20251130_112605
22,6,0,FAILED,TRUE,20251130_112605
22,7,0.7868,SUCCESS,FALSE,20251130_112605
22,0,0.7991,SUCCESS,FALSE,20251130_112708
22,1,0.8048,SUCCESS,FALSE,20251130_112708
22,2,0.8059,SUCCESS,FALSE,20251130_112708
23,3,0.8002,SUCCESS,FALSE,20251130_112708
23,4,0.8002,SUCCESS,FALSE,20251130_112708
23,5,0.8002,SUCCESS,FALSE,20251130_112708
23,6,0.8059,SUCCESS,FALSE,20251130_112708
23,7,0.8137,SUCCESS,FALSE,20251130_112708
23,0,0,FAILED,TRUE,20251130_112806
23,1,0,FAILED,TRUE,20251130_112806
23,2,0,FAILED,TRUE,20251130_112806
24,3,0.8025,SUCCESS,FALSE,20251130_112806
24,4,0.8092,SUCCESS,FALSE,20251130_112806
24,5,0.8126,SUCCESS,FALSE,20251130_112806
24,6,0.7801,SUCCESS,FALSE,20251130_112806
24,7,0.7801,SUCCESS,FALSE,20251130_112806
24,0,0.806954993,SUCCESS,FALSE,20251130_112915
24,1,0.803628146,SUCCESS,FALSE,20251130_112915
24,2,0.827160881,SUCCESS,FALSE,20251130_112915
25,3,0.804720357,SUCCESS,FALSE,20251130_112915
25,4,0.808066035,SUCCESS,FALSE,20251130_112915
25,5,0.817054799,SUCCESS,FALSE,20251130_112915
25,6,0.824894859,SUCCESS,FALSE,20251130_112915
25,7,0.802466888,SUCCESS,FALSE,20251130_112915
25,0,0,FAILED,TRUE,20251130_113026
25,1,0.8148,SUCCESS,FALSE,20251130_113026
25,2,0,FAILED,TRUE,20251130_113026
26,3,0.8148,SUCCESS,FALSE,20251130_113026
26,4,0,FAILED,TRUE,20251130_113026
26,5,0.7992,SUCCESS,FALSE,20251130_113026
26,6,0.8148,SUCCESS,FALSE,20251130_113026
26,7,0.8148,SUCCESS,FALSE,20251130_113026
26,0,0.8081,SUCCESS,FALSE,20251130_113144
26,1,0.817,SUCCESS,FALSE,20251130_113144
26,2,0.8193,SUCCESS,FALSE,20251130_113144
27,3,0.8182,SUCCESS,FALSE,20251130_113144
27,4,0.8193,SUCCESS,FALSE,20251130_113144
27,5,0.8193,SUCCESS,FALSE,20251130_113144
27,6,0.8193,SUCCESS,FALSE,20251130_113144
27,7,0.8193,SUCCESS,FALSE,20251130_113144
27,0,0.8328,SUCCESS,FALSE,20251130_113257
27,1,0.8249,SUCCESS,FALSE,20251130_113257
27,2,0.8317,SUCCESS,FALSE,20251130_113257
28,3,0.8148,SUCCESS,FALSE,20251130_113257
28,4,0.826,SUCCESS,FALSE,20251130_113257
28,5,0.835,SUCCESS,FALSE,20251130_113257
28,6,0.8249,SUCCESS,FALSE,20251130_113257
28,7,0.8306,SUCCESS,FALSE,20251130_113257
